"site_code","Location","Continent","PubLat","PubLong","Latitude","Longitude","Offset","MAP","MAT","Tmin","Tmax","aridityValues"
"ORNL","Oak Ridge National Environmental Reserch Park, TN","North America","35 54 N","84 20 W",35.9,-84.333,"(324, 574)",1363,13.9,-3.6,30.8,1.14847242268096
"CAR","Carpenteria Salt Marsh Reserve, CA","North America","34 24 N","119 31 30W",34.3973439,-119.5283474,"(333, 362)",408,16,5.7,26.5,0.201393336702481
"LEFT","Lefthand Canyon, CO","North America","40 07 N","105 18 W",40.1166667,-105.3,"(299, 448)",421,7.6,-9.8,27.9,0.31653044256142
"BUX","Health and Safety Laboratory, Harpur Hill, Derbyshire, UK","Europe","","",53.231747,-1.918228,"(220, 1068)",1198,7.8,-0.8,18.9,2.63511548320236
"CAU","Teberda Biosphere Reserve, NW caucus Russia","Europe","43 27 N","41 41 E",43.45,41.68,"(279, 1330)",912,1.3,-11.9,16.8,3.20299169909833
"Saskatchewan","Gap Prairie Farm Rehabilitation Administration, Saskatchewan, Canada","North America","","",49.341212,-104.655322,"(243, 452)",353,3.7,-19.8,27.6,0.383264996800514
"SEV","Sevilleta LTER","North America","34 24 N","106 40 W",34.4,-106.6666667,"(333, 439)",245,12.7,-7.3,33.5,0.110857203274634
"JRN","Jornada LTER","North America","32 31.80N","106 43.41W",32.53,-106.7235,"(344, 439)",253,15,-4.8,34.4,0.124151887365893
"KBS","Kellogg LTER","North America","42 24 N","85 22 W",42.4,-85.3666,"(285, 567)",907,8.8,-9.9,28.7,1.01141800813262
"TAS","Australian Federal Department of Defence Pontville Small Arms Range Complex","Australia","42 42 S","147 16E",-42.7,147.2666667,"(796, 1963)",557,12.1,3,22.6,0.64654236014229
"PIE","Plum Island Estuary, LTER, MA","North America","42 45 N","70 52 W",42.75,-70.8666667,"(283, 654)",1155,9.1,-8.9,27.8,1.3027056409167
"SIU","Southern Illinois Univeristy, IL","North America","37 37 N","89 09 W",37.616667,-89.15,"",1177,13,-6,31.2,1.24194161178896
"SKY","Spindletop Research Farm, Lexington KY","North America","38 10 N","84 49 W",38.1666667,-84.81667,"(311, 571)",1143,12.5,-5.3,30.4,1.39636248592919
"KAEFS","Kessler Atmospheric and Ecological Field Station, OK","North America","34 59 N","97 31 W",34.9833,-97.51666,"(330, 494)",907,16.2,-3.4,34.9,0.629040251334594
"Finse","Sandalsnuten, Finse, Norwary","Europe","60 N","7 E",60,7,"(180, 1121)",1835,-1.1,-11.4,11.2,4.96487119366206
"Hayoka","Håkøya, Tromso, Norway","Europe","69.66 N","18.78 E",69.66,18.78,"",892,2.3,-6.8,15.1,2.66407339329117
"ANG","Angelo Coast Range Reserve, CA","North America","39 44 17.7 N","123 37 48.4 W",39.73825,-123.6301111,"(301, 338)",1565,11,0.1,27.4,1.27770139293399
"NANT","Nanticoke River watershed, MD & DE","North America","38 33 N","75 44 W",38.55,-75.73333,"(308, 625)",1109,13.3,-3.4,30.6,1.03707231412872
"VCR","Hog Island, Virginia","North America","","",37.42127039,-75.68842303,"",1048,14.5,-1.1,29.8,0.882347936072258
"Sil","Silwood Park, Berkshire, UK","Europe",NA,NA,51.41266544,-0.645226255,"",707,9.8,-0.4,22.5,1.24822048970382
"SORBAS","Sorbas Experimental Site, Spain","Europe","37 05 N","2 05 W",37.083333,-2.083333,"",292,16.5,5.5,29.9,0.229929487530964
"cbgb.us","Chichaqua Bottoms","North America",NA,NA,41.78506667,-93.38538333,NA,850,9.1,-13,29.8,0.683947469689307
"shps.us","Sheep Experimental Station","North America",NA,NA,44.242989,-112.198391,NA,262,5.5,-13.3,29.1,0.249948874791486
"temple.us","Temple","North America",NA,NA,31.044,-97.349,NA,872,19,1.3,35.5,0.59252701630869
"sier.us","Sierra Foothills REC","North America",NA,NA,39.23550963,-121.2836963,NA,934,15.6,1.8,34.4,0.609180071933855
"yarra.au","Yarramundi","Australia",NA,NA,-33.61,150.73,NA,894,17.2,3.3,29,0.809864306753061
"veluwe.nl","Veluwe","Europe",NA,NA,52.0597222222222,5.75166666666667,NA,790,9.2,-0.8,21.2,1.60755677080021
