"site_code","project_name","community_type","rrich","anpp","annual_relcov"
"IMGERS","NDE","0",30.7150347222222,213.946666666667,0.0147921646584568
"MNR","watfer","0",60.77424752331,25.3764646464646,0.960967972275031
"ARC","MNT","0",88.8384027891374,150,0
"CEH","MEGARICH","0",27.0846527777778,779.9651,0.0167064337535786
"ARC","MAT2","0",30.3760532407407,185,0.00882203395109827
"SCL","Lucero","0",93.2584886700083,903.7,0.112077249838853
"TRA","Lovegrass","0",40.2550887345679,750,0.0266769866145819
"BAY","LIND","0",49.3691666666667,647.666666666667,0.0169478377990636
"KLU","KGFert","0",21.1491898148148,139.075482696667,0
"KNZ","IRG","u",66.8177085086981,490.999137364328,0.0145085492414094
"KNZ","IRG","l",63.5490046296296,498.270719297895,0.0169584513145341
"RIO","interaction","0",9.79777777777778,57.2686666666667,0
"CLE","Imagine","0",12,489.385,0.0191613175921094
"LG","HerbWood","0",82.5969476617133,15,0.222430105982074
"NIN","HerbDiv","0",84.2195206606665,721,0.170792327171285
"HAYS","Precip","0",60.8149305555556,331,0.0139442460339382
"SFREC","GrazePrecip","G2",47.8194444444444,323,0.930506167427625
"SFREC","GrazePrecip","G4",27.2962962962963,323,0.772140888884281
"KNZ","GFP","K1B",49.6063092732884,468.585714285714,0.00592737934240984
"KNZ","GFP","4F",58.0857530297634,367.5,0.0110047796987777
"KNZ","GFP","20B",56.2192589085297,490.271428571429,0.016810484017617
"KNP","GFP","0",48.3769279601571,566.63125,0.0693618711290081
"Glen","Fert","0",73.612984708193,NA,0
"DL","GCME2","0",59.7511330317059,205.3,0.0601794246281536
"DL","GCME","0",63.9637403549383,205.3,0.0235285082752077
"JSP","GCE","0",47.9182517887205,400,0.617472075264259
"NGBER","gb","0",18,325.8125,0.492299238858165
"DCGS","gap","0",110.403242128185,708,0.00462718870264268
"SVA","GANE","0",23.5134722222222,1.5,0
"maerc","fireplots","0",34.9940451388889,860.330522108333,0.00440178061580906
"ANR","Fert3","0",30.1258680555556,68,0.00634264742376644
"ANR","Fert1","0",33.2178009259259,68,0.00634164168467009
"ASGA","Exp1","a",74.9163233159587,140.65883333825,0.00344226582549366
"Bt","EVENT2","0",53.5083063271605,612.476,0.00207354884224722
"AZI","EELplot","0",65.8716319444444,337.1044,0.0272490906832917
"SGS","EDGE","0",66.51724203844,94,0.210897125049471
"KNZ","EDGE","0",83.3350410218639,413,0.00650985801517848
"HYS","EDGE","0",113.70317228064,246,0.0516138334148678
"CHY","EDGE","0",82.7193123408228,137,0.0553665451603294
"KUFS","E6","2",120.385261934956,315.593777777778,0.130799796895984
"KUFS","E6","1",126.127249949525,268.433333333333,0.174285128116228
"KUFS","E2","0",96.0974649361736,130.244,0.0176893404602304
"CDR","e002","A",50.8023553240741,160.245910526316,0.0705384294829842
"CDR","e002","C",73.3958062866917,270.781183333333,0.087387411618731
"CDR","e002","B",55.4848360339506,191.889544210526,0.1218775401773
"CDR","e001","D",95.3080659869814,470.895080833333,0.00990100749770964
"CDR","e001","C",65.7134056645515,493.802446354167,0.00332851580941105
"CDR","e001","B",57.4730744949495,397.154116666667,0.00486198490865996
"CDR","e001","A",57.1730169753086,478.018218,0.0305776202776677
"DL","Precip","0",48.7235300925926,205.3,0.0512914130515344
"SERC","CXN","0",3,666.393990696267,0
"CUL","Culardoch","0",33.765775462963,105,0
"ASGA","clonal","0",72.8601890432099,210.906388882083,0.00554141512306339
"LATNJA","CLIP","Heath",46.5083449074074,476,0
"LATNJA","CLIP","Meadow",82.1392520288354,383,0
"KNZ","change","0",57.3663175154321,556.091666666667,0.00422467577300759
"SGS","change","0",63.4014051978114,110.325,0.259302858818036
"Manitoba","CCD","0",46.0130671296296,282,0.280854739372642
"Alberta","CCD","0",40.1028472222222,191,0
"Bt","NPKDNet","0",87.3220138888889,176.4062,0.0220105100423299
"Bt","DroughtNet","0",68.0891898148148,288.3306,0.0233773587485212
"NWT","bowman","WetBowman",53.0986188271605,264.721875,0
"NWT","bowman","DryBowman",66.11796875,151.684375,0
"CDR","BioCON","0",15.1911805555556,436.505059057971,0
"KNZ","BGP","0",145.851301054043,424.117447916667,0.0152664757528513
"KLU","BFFert","0",38.254837962963,145,0
"NWT","ATWE","0",20,157.869501666667,0
"GVN","FACE","0",30.85,NA,0
"DL","NSFC","0",NA,173.836571428571,0.0349737557844584
